period_month,country_code,country_name,headline,core,energy,food,services,non_energy_goods,gap_vs_target,gap_vs_euro_area
2009-08-01,FR,France,-0.2,1.6,-13.2,-0.6,2.3,0.6,-2.2,0.0
2009-10-01,FR,France,-0.2,1.1,-10.7,-0.3,2.1,-0.3,-2.2,-0.1
2010-04-01,FR,France,1.9,0.9,12.4,1.4,1.6,-0.2,-0.10000000000000009,0.2999999999999998
2010-09-01,FR,France,1.8,1.1,9.5,1.3,1.7,0.1,-0.19999999999999996,-0.09999999999999987
2010-10-01,FR,France,1.8,1.1,10.7,1.0,1.7,0.1,-0.19999999999999996,-0.09999999999999987
2011-07-01,FR,France,2.1,0.8,11.3,2.5,1.9,-0.7,0.10000000000000009,-0.5
2011-09-01,FR,France,2.4,1.0,12.0,3.3,1.4,0.4,0.3999999999999999,-0.6000000000000001
2011-12-01,FR,France,2.7,1.6,9.0,3.5,1.8,1.3,0.7000000000000002,-0.09999999999999964
2012-05-01,FR,France,2.3,1.6,4.9,3.3,1.6,1.7,0.2999999999999998,-0.10000000000000009
2012-06-01,FR,France,2.3,1.8,3.3,3.5,1.8,1.7,0.2999999999999998,-0.10000000000000009
2012-10-01,FR,France,2.1,1.2,5.0,3.6,1.4,0.9,0.10000000000000009,-0.3999999999999999
2012-11-01,FR,France,1.6,1.0,2.8,3.1,0.9,1.1,-0.3999999999999999,-0.6000000000000001
2013-07-01,FR,France,1.2,0.7,1.8,2.5,0.9,0.1,-0.8,-0.40000000000000013
2013-08-01,FR,France,1.0,0.6,-0.2,2.7,1.0,0.0,-1.0,-0.30000000000000004
2013-11-01,FR,France,0.8,1.0,0.2,0.6,1.6,0.1,-1.2,-0.09999999999999998
2015-06-01,FR,France,0.3,0.7,-2.6,0.4,1.2,-0.1,-1.7,-0.2
2015-08-01,FR,France,0.1,0.6,-4.9,0.8,1.3,-0.6,-1.9,-0.30000000000000004
2016-06-01,FR,France,0.3,0.6,-2.6,0.5,1.0,0.0,-1.7,0.3
2016-10-01,FR,France,0.5,0.6,0.6,-0.1,1.1,-0.1,-1.5,0.0
2016-12-01,FR,France,0.8,0.4,4.1,0.6,1.0,-0.4,-1.2,-0.30000000000000004
2017-04-01,FR,France,1.4,0.6,9.1,1.0,1.0,-0.2,-0.6000000000000001,-0.5
2017-09-01,FR,France,1.1,0.6,4.9,1.2,1.0,-0.1,-0.8999999999999999,-0.5
2017-12-01,FR,France,1.2,0.6,4.9,1.8,0.9,0.2,-0.8,-0.10000000000000009
2018-04-01,FR,France,1.8,0.9,6.1,3.1,1.5,0.0,-0.19999999999999996,0.6000000000000001
2018-05-01,FR,France,2.3,1.1,9.8,3.2,1.6,0.2,0.2999999999999998,0.2999999999999998
2018-06-01,FR,France,2.3,0.8,12.0,3.4,1.3,0.1,0.2999999999999998,0.2999999999999998
2018-07-01,FR,France,2.6,1.0,14.1,3.5,1.4,0.3,0.6000000000000001,0.3999999999999999
2018-09-01,FR,France,2.5,0.7,12.7,4.3,1.1,0.1,0.5,0.3999999999999999
2019-03-01,FR,France,1.3,0.3,5.1,3.1,0.6,-0.3,-0.7,-0.09999999999999987
2019-05-01,FR,France,1.1,0.3,3.4,3.0,0.6,-0.4,-0.8999999999999999,-0.09999999999999987
2020-08-01,FR,France,0.2,0.6,-7.1,2.3,0.8,0.0,-1.8,0.4
2020-10-01,FR,France,0.1,0.3,-7.7,2.8,0.3,0.2,-1.9,0.4
2020-11-01,FR,France,0.2,0.4,-7.7,3.2,0.7,-0.1,-1.8,0.5
2021-01-01,FR,France,0.8,1.1,-5.8,2.3,1.1,1.2,-1.2,-0.09999999999999998
2021-02-01,FR,France,0.8,0.6,-1.6,2.2,1.0,-0.1,-1.2,-0.09999999999999998
2021-12-01,FR,France,3.4,2.1,19.3,1.2,2.2,2.1,1.4,-1.6
2022-08-01,FR,France,6.6,4.1,23.3,7.0,4.1,4.2,4.6,-2.5
2023-02-01,FR,France,7.3,4.6,14.0,13.2,4.0,5.4,5.3,-1.2000000000000002
2023-03-01,FR,France,6.7,4.6,5.2,15.0,4.0,5.6,4.7,-0.20000000000000018
2023-12-01,FR,France,4.1,2.9,5.5,7.5,3.5,1.8,2.0999999999999996,1.1999999999999997
2024-04-01,FR,France,2.4,2.3,3.7,2.1,3.3,0.1,0.3999999999999999,0.0
2024-08-01,FR,France,2.2,2.6,0.4,1.4,3.6,0.5,0.20000000000000018,0.0
2024-10-01,FR,France,1.6,2.1,-1.9,1.5,2.9,0.4,-0.3999999999999999,-0.3999999999999999
2025-08-01,FR,France,0.8,1.4,-6.0,1.9,2.0,0.2,-1.2,-1.2
2000-10-01,IT,Italy,2.7,2.0,11.9,1.9,2.2,1.9,0.7000000000000002,0.30000000000000027
2001-02-01,IT,Italy,1.5,0.5,8.0,3.0,2.4,-1.4,-0.5,-0.5
2001-03-01,IT,Italy,2.2,1.6,5.3,3.0,2.5,0.9,0.20000000000000018,0.0
2001-05-01,IT,Italy,2.8,2.5,4.8,3.7,3.0,2.0,0.7999999999999998,-0.30000000000000027
2001-06-01,IT,Italy,2.8,2.4,3.7,4.2,2.9,1.8,0.7999999999999998,-0.10000000000000009
2001-12-01,IT,Italy,2.3,2.5,-5.0,4.1,3.3,1.5,0.2999999999999998,0.19999999999999973
2002-01-01,IT,Italy,2.3,2.5,-5.2,4.7,3.4,1.6,0.2999999999999998,-0.30000000000000027
2004-06-01,IT,Italy,2.4,2.2,3.5,3.4,2.6,1.7,0.3999999999999999,0.0
2004-08-01,IT,Italy,2.4,2.1,3.5,2.6,2.7,1.5,0.3999999999999999,0.0
2004-09-01,IT,Italy,2.1,2.2,3.0,1.8,2.7,1.6,0.10000000000000009,0.0
2005-07-01,IT,Italy,2.2,1.9,9.8,0.8,2.4,1.0,0.20000000000000018,0.10000000000000009
2005-08-01,IT,Italy,2.2,1.9,9.8,1.0,2.4,1.0,0.20000000000000018,0.0
2005-09-01,IT,Italy,2.2,1.8,11.3,1.1,2.3,1.0,0.20000000000000018,-0.3999999999999999
2005-11-01,IT,Italy,2.4,1.8,9.6,1.6,2.1,1.3,0.3999999999999999,0.10000000000000009
2005-12-01,IT,Italy,2.0,1.8,9.2,1.1,1.8,1.3,0.0,-0.2999999999999998
2006-06-01,IT,Italy,2.4,1.6,10.5,1.9,1.9,1.3,0.3999999999999999,-0.10000000000000009
2006-07-01,IT,Italy,2.4,1.4,10.5,2.4,1.8,1.0,0.3999999999999999,0.0
2006-09-01,IT,Italy,2.5,1.7,5.9,2.9,1.9,1.8,0.5,0.7
2007-04-01,IT,Italy,1.8,1.7,-0.1,3.1,1.8,1.5,-0.19999999999999996,-0.09999999999999987
